time,date,hour,precip [mm/day],raven-weighted [m3/s],raven-weighted (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,0.0130262,0,0.329
2,2010-01-03,00:00:00.00,0.0425045,0,0.2
3,2010-01-04,00:00:00.00,0.174981,0,0.131
4,2010-01-05,00:00:00.00,1.62153,0,0.13
5,2010-01-06,00:00:00.00,0.427032,0,0.132
6,2010-01-07,00:00:00.00,0.0758901,0,0.14
7,2010-01-08,00:00:00.00,5.22315,0,0.148
8,2010-01-09,00:00:00.00,2.5745,0,0.144
9,2010-01-10,00:00:00.00,0.105911,0,0.139
10,2010-01-11,00:00:00.00,0.0192509,0,0.122
11,2010-01-12,00:00:00.00,1.39196,0,0.117
12,2010-01-13,00:00:00.00,0.0421904,0,0.115
13,2010-01-14,00:00:00.00,0.000193383,0,0.117
14,2010-01-15,00:00:00.00,0.00100389,0,0.114
15,2010-01-16,00:00:00.00,0.00330107,0,0.121
16,2010-01-17,00:00:00.00,0.000151695,0.0272208,0.129
17,2010-01-18,00:00:00.00,0.00302719,0.0435684,0.137
18,2010-01-19,00:00:00.00,0.00404,0.058544,0.139
19,2010-01-20,00:00:00.00,0.164386,0.0624896,0.137
20,2010-01-21,00:00:00.00,0.0810436,0.0291081,0.136
21,2010-01-22,00:00:00.00,0.00235893,0.0127494,0.128
22,2010-01-23,00:00:00.00,0.0158463,0.00587915,0.127
23,2010-01-24,00:00:00.00,0.166615,0.0355515,0.137
24,2010-01-25,00:00:00.00,18.3453,0.486609,1.54
25,2010-01-26,00:00:00.00,2.67655,0.980601,18.3
26,2010-01-27,00:00:00.00,1.66094,0.812469,8.95
27,2010-01-28,00:00:00.00,0.431955,0.41068,2.9
28,2010-01-29,00:00:00.00,0.471157,0.180569,2.13
29,2010-01-30,00:00:00.00,0.000311035,0.0802089,0.7
30,2010-01-31,00:00:00.00,0.00360819,0.0391441,0.25
31,2010-02-01,00:00:00.00,0.0289066,0.0226565,0.19
32,2010-02-02,00:00:00.00,0.0223366,0.0159715,0.155
33,2010-02-03,00:00:00.00,0.56722,0.0131829,0.123
34,2010-02-04,00:00:00.00,0.274973,0.011918,0.128
35,2010-02-05,00:00:00.00,0.000103802,0.0112279,0.12
36,2010-02-06,00:00:00.00,0.0197726,0.0107776,0.116
37,2010-02-07,00:00:00.00,0.0231144,0.0104195,0.113
38,2010-02-08,00:00:00.00,0.0310537,0.0101396,0.11
39,2010-02-09,00:00:00.00,0.0276718,0.00993905,0.109
40,2010-02-10,00:00:00.00,8.50455,0.00972834,0.109
41,2010-02-11,00:00:00.00,10.5913,0.0107338,0.11
42,2010-02-12,00:00:00.00,1.42989,0.0109684,0.113
43,2010-02-13,00:00:00.00,0.00680927,0.00966633,0.117
44,2010-02-14,00:00:00.00,0.0225018,0.00904532,0.121
45,2010-02-15,00:00:00.00,0.0331347,0.00867779,0.119
